Building Name,District Name,County,"City, State, Zip Code",Performance Index Score 2015-16,City,State,Zip Code,Code+4
Hope Academy Northwest Campus,Hope Academy Northwest Campus,Cuyahoga,"Cleveland, OH, 44102-2301",58.333,Cleveland, OH, 44102,2301
King Academy Community School,King Academy Community School,Hamilton,"Cincinnati, OH, 45202-6990",80.538,Cincinnati, OH, 45202,6990
Emerson Academy,Emerson Academy,Montgomery,"Dayton, OH, 45410-1232",67.312,Dayton, OH, 45410,1232
Amelia Elementary School,West Clermont Local,Clermont,"Amelia, OH, 45102-1943",88.881,Amelia, OH, 45102,1943
Amelia High School,West Clermont Local,Clermont,"Batavia, OH, 45103-2503",68.901,Batavia, OH, 45103,2503
Summit Academy Transition High School-Cincinnati,Summit Academy Transition High School-Cincinnati,Hamilton,"Cincinnati, OH, 45224-3029",41.270,Cincinnati, OH, 45224,3029
Summit Academy Middle School - Lorain,Summit Academy Middle School - Lorain,Lorain,"Lorain, OH, 44052-2106",41.092,Lorain, OH, 44052,2106
Summit Academy Middle School - Columbus,Summit Academy Middle School - Columbus,Franklin,"Columbus, OH, 43207-2712",45.000,Columbus, OH, 43207,2712
Amelia Middle School,West Clermont Local,Clermont,"Batavia, OH, 45103-2503",80.021,Batavia, OH, 45103,2503
Heir Force Community School,Heir Force Community School,Allen,"Lima, OH, 45801-4006",73.210,Lima, OH, 45801,4006
Summit Academy Transition High School-Columbus,Summit Academy Transition High School-Columbus,Franklin,"Columbus, OH, 43207-2712",43.945,Columbus, OH, 43207,2712
Summit Academy Alternative LearnersWarren Middle & Secondary,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull,"Warren, OH, 44485-1928",48.750,Warren, OH, 44485,1928
Amesville Elementary School,Federal Hocking Local,Athens,"Amesville, OH, 45711-0189",71.160,Amesville, OH, 45711,0189
Summit Academy Transition High School Dayton,Summit Academy Transition High School Dayton,Montgomery,"Dayton, OH, 45415-3632",44.634,Dayton, OH, 45415,3632
Summit Academy-Youngstown,Summit Academy-Youngstown,Mahoning,"Youngstown, OH, 44509-2041",49.972,Youngstown, OH, 44509,2041
